rank,benchmark,benchmark_label,A,n,k,G_pred,residual_ppm,sigma
1,codata2022,CODATA 2022 adjustment,4/3,21,5/2,6.674312282552968152E-11,1.840275829398,0.081883686454
2,codata2022,CODATA 2022 adjustment,4/3,21,3,6.650004250664960596E-11,-3640.194377693452,161.971662233596
3,codata2022,CODATA 2022 adjustment,4/3,21,2,6.698709168581814686E-11,3657.187807232921,162.727790545431
4,codata2022,CODATA 2022 adjustment,4/3,21,7/2,6.625784749308527505E-11,-7268.964639208980,323.435004609817
5,codata2022,CODATA 2022 adjustment,4/3,21,3/2,6.723195233543666863E-11,7325.896879622861,325.968223624446
