rank,benchmark,benchmark_label,A,n,k,G_pred,residual_ppm,sigma
1,nist2026,NIST/Metrologia single-experiment result (2026-04-16),4/3,21,5/2,6.674312282552968152E-11,66.270777370274,1.163901455179
2,nist2026,NIST/Metrologia single-experiment result (2026-04-16),4/3,21,3,6.650004250664960596E-11,-3575.998533840096,62.804603513262
3,nist2026,NIST/Metrologia single-experiment result (2026-04-16),4/3,21,2,6.698709168581814686E-11,3721.853824215138,65.366233110039
4,nist2026,NIST/Metrologia single-experiment result (2026-04-16),4/3,21,7/2,6.625784749308527505E-11,-7205.002598413289,126.540133398612
5,nist2026,NIST/Metrologia single-experiment result (2026-04-16),4/3,21,3/2,6.723195233543666863E-11,7390.799272935623,129.803246167544
